#{"t_start": 1762040969.72041, "env_id": "None"}
r,l,t
-220.985714,763,0.789538
-167.5,1438,1.343973
-169.192857,1289,1.849019
112.492857,2700,2.929968
-114.157143,2500,6.460135
-201.535714,1813,7.161603
-186.342857,1317,7.662699
-204.685714,1391,8.272099
-210.0,1632,8.967449
37.15,1698,12.060698
-210.107143,1390,12.660845
-195.964286,848,13.033774
-179.321429,1609,13.611745
-159.7,1392,14.21886
-222.992857,1644,14.917992
-168.157143,1491,18.122781
-175.121429,1353,18.631946
-195.3,1962,19.309973
-222.807143,770,19.65986
-205.735714,844,20.027567
-5.907143,1507,20.576021
-237.457143,798,20.984894
-175.9,1235,24.12995
-190.635714,1671,24.850699
-207.671429,956,25.290008
-182.707143,2146,26.152032
-179.485714,1872,26.910606
-163.964286,1708,30.161888
-199.057143,2207,31.057816
-167.321429,1262,31.639272
-219.628571,995,32.126862
-125.428571,2158,32.961003
-184.5,1243,36.096867
-134.35,2132,36.967673
-149.864286,1943,37.715392
61.621429,2700,38.807847
71.307143,1739,42.036418
-193.842857,2570,43.051958
-226.971429,897,43.511569
-174.4,1954,44.294479
-215.114286,1410,47.487723
-225.014286,546,47.798359
-210.857143,935,48.18857
-159.007143,1703,48.868946
-16.192857,1430,49.406914
11.621429,2700,50.451025
-165.4,1157,53.719978
-11.407143,1262,54.212085
15.042857,1455,54.765761
-161.178571,1641,55.438684
-133.092857,2485,56.378013
-191.228571,1584,59.595371
-205.885714,1090,60.109585
-234.878571,922,60.521224
41.607143,2700,61.628099
72.114286,2700,65.24894
-127.1,2129,66.158381
-217.75,1005,66.565805
52.207143,945,66.960284
-190.792857,1380,67.47017
-196.978571,1406,68.080452
-74.9,2305,71.63768
-226.064286,1074,72.079939
-35.792857,2700,73.100189
-211.364286,1008,73.510381
-155.607143,1735,74.201177
-175.785714,2232,77.81748
-225.471429,923,78.249337
-128.428571,1396,78.774369
-38.771429,2659,79.799539
27.057143,2031,83.180039
-140.242857,2050,84.049761
-180.121429,1421,84.65854
13.357143,2700,85.71681
-188.371429,1696,88.874957
59.907143,2700,89.902046
-179.928571,1264,90.383969
-158.921429,1778,91.134661
-222.878571,1027,91.632059
-178.664286,2044,94.988887
-205.928571,1687,95.714315
-183.007143,1237,96.301359
-23.6,1010,96.719505
-149.4,1169,97.173282
-224.5,1145,97.61862
83.935714,2700,101.378244
-232.192857,780,101.72872
-164.778571,1583,102.297737
-231.292857,837,102.72854
-155.507143,1628,103.403158
-169.9,1679,106.657559
-125.757143,1666,107.387821
-179.185714,1690,108.096566
-171.557143,1736,108.768958
-211.8,971,109.201315
-180.8,1424,109.782248
-121.564286,2194,113.455285
41.8,2700,114.499346
59.521429,1968,115.275946
-38.528571,2358,118.829094
-193.678571,1434,119.46602
-229.814286,977,119.946576
71.185714,1236,120.422991
-183.928571,2133,121.265237
-179.407143,1839,124.677517
-26.228571,2424,125.679622
-160.435714,952,126.081849
-183.964286,2079,126.890172
