#{"t_start": 1762026536.480345, "env_id": "None"}
r,l,t
39.7,340,0.629908
19.092857,1508,1.197338
-18.8,762,1.546717
28.257143,423,1.793003
21.014286,416,2.040205
40.4,340,2.264945
6.95,1945,2.982637
13.9,1278,3.477212
38.85,2335,7.10962
-6.714286,1661,7.735456
-29.5,944,8.143369
-15.65,1909,8.830432
17.6,340,9.062332
7.314286,2248,12.658872
41.3,340,12.89846
55.585714,2700,13.804503
22.9,414,14.051135
0.264286,1676,14.665202
41.7,340,14.894023
-17.5,1666,15.494802
-29.2,1200,18.532679
40.0,414,18.78384
22.4,414,19.032777
21.7,2132,19.777879
70.878571,2700,20.69351
29.2,414,20.946283
6.9,1360,21.463454
-5.5,1801,24.610861
-14.35,763,24.96085
-19.5,628,25.276289
20.2,340,25.504066
10.1,414,25.754137
35.1,340,25.982026
-8.492857,1718,26.605956
-9.15,905,26.995572
38.4,340,27.224663
-19.7,1404,30.377649
-8.514286,1861,31.05562
35.5,340,31.291989
36.4,340,31.524096
34.985714,2700,32.433609
31.0,414,32.689593
21.1,414,32.946135
30.0,340,33.174521
-8.3,1424,36.334802
31.685714,442,36.603792
-5.65,2006,37.315411
-7.05,1499,37.871273
20.3,414,38.122139
-23.45,1235,38.609212
80.857143,2700,41.958315
3.85,1789,42.609505
22.985714,423,42.863669
23.271429,2608,43.753012
8.085714,2060,44.479491
-18.35,883,44.860015
-14.95,817,47.744035
42.0,340,47.975444
15.771429,1478,48.530217
38.5,414,48.783718
31.3,414,49.033987
30.7,340,49.262251
26.8,414,49.512645
22.8,414,49.761819
-17.892857,2345,50.572559
42.121429,423,50.826709
14.292857,1637,54.034958
41.392857,425,54.288005
34.0,340,54.517464
20.7,414,54.768601
31.4,414,55.016145
34.4,340,55.24507
38.3,414,55.495557
26.264286,2190,56.257682
51.4,2700,59.695644
37.742857,2700,60.621375
-27.05,803,60.982805
-40.7,528,61.270693
-15.7,780,61.625517
-1.35,983,62.034142
-1.75,1961,62.738432
40.6,414,65.480946
-19.75,1143,65.959197
13.0,1690,66.569359
-15.628571,2304,67.367551
32.7,414,67.617674
0.8,1608,68.206166
-13.7,812,68.572738
-2.7,1417,71.629984
-17.1,898,72.022877
38.3,414,72.273105
-17.75,1009,72.732488
40.2,340,72.986094
37.3,340,73.227685
30.0,414,73.49496
34.8,340,73.742679
29.0,340,73.992799
25.4,340,74.243473
32.4,340,74.494486
22.0,414,74.772705
26.0,414,75.046874
39.5,340,75.301198
24.9,414,75.577602
41.1,340,75.816346
23.1,340,79.020598
32.2,340,79.282688
35.4,340,79.545067
-24.1,850,79.934922
29.3,414,80.185647
27.8,414,80.451221
26.2,414,80.721652
18.7,340,80.960868
19.164286,1411,81.498972
25.8,414,81.762432
16.5,340,81.991636
32.3,414,82.253747
36.8,340,82.500597
42.0,340,82.755716
33.8,414,83.033443
39.6,340,83.274078
33.6,340,83.517483
40.5,340,86.806993
39.5,340,87.065221
26.4,414,87.333958
38.2,340,87.591248
42.2,414,87.870623
19.1,340,88.111268
30.1,340,88.353173
37.0,340,88.610826
29.6,414,88.894874
-22.314286,1005,89.324043
29.264286,417,89.590744
26.3,414,89.868014
37.4,414,90.148711
8.864286,2080,90.889035
29.2,340,91.116345
20.2,414,91.378924
18.9,340,94.61576
31.8,340,94.863847
19.9,414,95.11625
37.3,340,95.34518
13.178571,1339,95.865595
28.4,340,96.107066
40.2,414,96.36687
42.0,340,96.612187
9.221429,2013,97.336258
28.0,414,97.585361
24.3,414,97.834807
40.1,340,98.07966
68.885714,2700,101.815468
66.442857,2700,102.719023
42.0,340,102.949835
20.5,340,103.178304
21.1,340,103.404728
