#{"t_start": 1761711814.5573661, "env_id": "None"}
r,l,t
0.613952,2700,1.700504
0.9,2700,3.70966
0.115667,347,4.101948
0.742524,2700,5.762125
-0.197952,351,6.061018
0.115667,347,6.382079
0.148667,2700,8.048245
0.113333,340,8.477906
-0.295238,853,9.164128
0.9,2700,10.910666
0.9,2700,12.365152
0.9,2700,14.057128
-0.968476,1167,14.903525
0.9,2700,16.663621
0.284714,2700,18.4047
0.115667,347,18.730537
-0.03981,353,19.140752
-0.715429,2578,20.805896
0.115667,347,21.201979
-1.036905,1175,22.064786
-3.442571,2660,23.823146
0.115667,347,24.167434
0.113333,340,24.492457
-0.564238,946,25.315658
0.175857,1299,26.272837
-0.003095,1705,27.493085
0.113333,340,27.816535
0.051714,1698,29.012952
0.9,2700,30.519362
0.9,2700,32.350969
0.113333,340,32.755313
0.9,2700,34.582333
0.642,1926,35.930074
0.714286,2700,37.733265
0.071095,2700,39.578358
-0.04181,347,39.934581
-0.668619,441,40.363958
-0.023095,2700,42.184573
0.115667,347,42.536799
-1.886714,2700,44.396972
-0.516619,2700,45.897663
0.9,2700,47.447522
0.452333,1357,48.493549
0.49219,2700,50.334447
0.9,2700,52.167377
0.115667,347,52.506476
-0.430476,683,53.196705
0.9,2700,54.735662
0.282667,2501,56.471287
0.9,2700,58.322297
0.115667,347,58.67503
-1.123429,2700,60.574545
-1.073429,2700,62.474888
0.9,2700,64.082426
0.358333,1075,64.984583
-0.053429,954,65.864271
0.169286,1065,66.709474
0.177429,1068,67.568127
0.115667,347,67.909908
0.385381,2700,69.871389
0.9,2700,71.458295
0.9,2700,73.349583
-0.195952,357,73.70081
0.9,2700,75.59808
-0.197286,353,76.06246
-0.041476,348,76.421077
0.9,2700,78.306679
-0.038476,357,78.645348
-0.374476,1298,79.697237
-0.040476,351,80.052069
0.299333,2700,81.988571
0.476,1428,83.159469
0.9,2700,84.734355
0.113619,2700,86.589266
-1.560048,1731,87.865135
0.113333,340,88.207298
0.9,2700,90.120839
-0.449667,1352,91.185433
-1.924429,1493,92.42808
0.9,2700,94.307778
0.9,2700,95.909225
0.115667,347,96.254653
0.9,2700,97.882554
0.9,2700,99.517345
-0.623429,2700,101.439813
0.9,2700,103.341988
-0.314619,2700,105.252865
0.179714,1783,106.616466
0.9,2700,108.553536
0.9,2700,110.164552
0.115667,347,110.51322
0.333,999,111.444327
0.9,2700,113.047194
-1.675429,2700,114.652667
0.707143,2700,116.580387
0.692524,2700,118.475714
-0.225857,353,118.824262
0.9,2700,120.70511
0.399333,2700,122.332381
-1.815524,2193,123.936287
-0.280905,2700,125.85863
0.9,2700,127.783284
0.113333,340,128.221886
-0.044857,2700,129.847815
-0.041143,349,130.212783
-0.198286,350,130.553169
0.115667,347,130.889138
-0.708476,2700,132.859309
-0.041143,349,133.298854
0.668667,2006,134.753018
0.9,2700,136.682311
0.9,2700,138.600211
0.724,2172,140.232891
-0.173762,2700,141.903242
0.9,2700,143.82763
-0.946667,1518,145.005361
0.875,2625,146.607998
0.399333,2700,148.548611
-0.636286,2489,150.326628
-0.008476,2700,151.996289
0.9,2700,153.96075
0.298667,2700,155.879189
0.113333,340,156.222781
0.115667,347,156.575376
0.113333,340,156.996942
0.9,2700,158.650975
0.19219,2700,160.671592
-0.324762,1041,161.514668
-0.680905,2700,163.186918
0.115667,347,163.653459
0.113333,340,164.015241
-1.863857,2197,165.630046
0.9,2700,167.527547
-0.221524,366,167.873298
-0.04181,347,168.334376
0.115667,347,168.691878
-1.281571,2700,170.642641
0.228238,2700,172.552912
0.085714,2700,174.494355
0.9,2700,176.416564
0.495667,1487,177.588825
0.9,2700,179.567041
-0.229238,2700,181.556355
0.9,2700,183.181607
0.613952,2700,185.145006
0.206476,2700,187.142217
0.9,2700,188.788799
-0.041476,348,189.178275
-2.992762,1753,190.262969
-0.34519,2700,192.19406
-0.316381,360,192.625054
-0.533,354,193.028579
-0.228333,367,193.377772
-0.160905,354,193.810418
0.9,2700,195.769796
0.565667,1697,197.126669
0.413952,2700,199.058922
0.03481,2335,200.774927
-0.041476,348,201.145844
