#{"t_start": 1761670496.417942, "env_id": "None"}
r,l,t
9150.225,1547,0.790116
4781.485,767,1.094764
9208.12,1468,1.560888
6681.09,1484,2.018185
10695.815,1919,2.570992
14728.65,2700,5.041109
5178.37,910,5.372371
10621.935,1837,5.917713
8453.34,1394,6.355836
11988.8,2122,6.957752
8284.145,1229,9.054734
8328.3,1436,9.500338
12470.995,2331,10.153708
14546.09,2700,10.888295
6496.33,1080,12.918301
14694.24,2700,13.662903
12174.3,2330,14.317581
5253.765,679,14.604978
6408.06,1028,14.964152
5775.28,846,17.013997
16200.2,2700,17.757533
13915.28,2478,18.435234
7825.825,1153,18.818645
11358.5,1820,21.081529
9112.71,1568,21.591439
11949.63,1954,22.161012
14137.935,2389,22.817619
7539.555,1065,23.185138
6009.15,862,23.51021
