#{"t_start": 1761694618.8859038, "env_id": "None"}
r,l,t
163.349121,323,0.602349
313.293705,320,0.806626
299.729238,320,1.013851
194.614509,323,1.212082
297.853861,323,1.410749
269.48059,320,1.608905
286.650397,320,1.808744
259.03419,320,2.010744
278.479443,320,2.210339
133.103436,323,2.413334
187.2599,320,2.607031
289.741909,320,2.805345
285.133608,320,3.003571
296.694612,320,3.200523
218.968558,323,3.394958
334.927223,320,3.591019
200.075706,323,3.785656
-233.837914,2700,6.71186
280.078661,320,6.924468
350.48353,320,7.122204
-305.335835,2700,7.825926
286.742573,320,8.0239
169.742004,323,8.22263
42.665182,323,8.419938
107.22152,323,8.616918
271.493732,323,8.815594
258.971149,323,9.012119
274.126442,320,9.211978
172.701328,320,9.410006
115.246114,323,9.607109
307.676421,320,9.803973
151.068992,323,10.000526
147.828849,323,10.198976
221.447971,323,10.398185
280.123901,320,10.597374
296.872664,320,13.057183
322.14317,320,13.271163
-227.645162,1881,13.801719
90.117154,323,13.997766
334.978981,320,14.19559
114.636566,323,14.392721
204.262573,323,14.589717
139.492284,323,14.789075
99.536833,323,14.986108
190.641038,320,15.184967
195.107611,320,15.383635
162.193615,323,15.581468
280.444023,320,15.779724
304.0585,320,15.974773
282.858336,320,16.175731
303.259727,320,16.374328
-75.757335,466,16.604772
102.89585,323,16.804752
239.361057,323,17.00181
308.136006,320,17.202501
272.088987,320,19.739423
97.687831,323,19.959407
64.991729,323,20.157673
314.200341,320,20.358543
-223.137882,2700,21.080445
253.290823,323,21.278453
264.956422,320,21.473527
360.146767,320,21.670773
265.009403,320,21.871334
316.005141,320,22.070555
359.832179,320,22.266789
-234.224372,2700,24.919976
230.994218,323,25.134409
128.026179,323,25.332925
228.341331,320,25.526712
211.566667,320,25.725591
287.317337,323,25.922993
197.134441,320,26.124182
210.848034,323,26.324214
-218.416863,2700,27.034877
308.055672,320,27.232616
327.691798,320,27.431674
114.066053,323,27.631274
172.048335,320,27.828197
164.515111,323,28.026192
-236.29605,2700,30.932632
290.764072,320,31.139655
270.614872,320,31.34786
232.769163,323,31.548874
155.560233,323,31.744628
180.073562,320,31.945212
303.560125,320,32.140477
290.268563,320,32.338929
243.887439,320,32.536633
288.778582,320,32.738085
187.574318,320,32.935467
311.06491,320,33.132766
-195.075791,2700,33.841283
137.381626,323,34.039582
301.195772,320,36.370695
-621.499236,2700,37.111253
262.271066,320,37.309194
325.666867,320,37.50501
184.603388,323,37.704329
314.853335,320,37.905343
-141.111359,2075,38.490237
341.961834,320,38.688692
221.576025,323,38.88554
-234.781851,2700,41.494506
311.504118,320,41.689305
153.04121,323,41.887895
291.888138,320,42.085404
230.071402,323,42.284052
192.956778,323,42.485262
304.698357,320,42.68147
-485.842363,2584,43.385962
265.974387,320,43.586866
285.315754,320,43.786108
228.705917,323,43.981887
252.193807,323,44.178409
333.541817,320,44.375419
118.122912,323,44.57491
233.702799,323,46.954268
-61.544539,2700,47.699399
186.584405,323,47.8982
279.298263,320,48.096803
71.993212,323,48.294911
-437.734108,2700,49.014233
251.575082,320,49.213764
348.772861,320,49.411416
240.981598,320,49.605184
212.603726,320,49.80438
183.864769,323,51.953925
-213.831577,2700,52.690419
-235.575689,2503,53.355892
301.441607,320,53.556051
129.750787,323,53.756169
220.723097,320,53.955685
286.851352,320,54.152838
-217.932926,1920,56.511206
170.368953,323,56.727637
-238.058189,2700,57.450306
-230.255493,1514,57.909684
269.047861,320,58.109327
126.717158,323,58.308433
193.566113,320,58.505585
-244.712479,2700,61.058337
353.791457,320,61.268711
310.884442,320,61.464006
236.089223,323,61.660605
86.790119,323,61.860142
142.26052,323,62.056503
104.659788,323,62.253722
100.632325,323,62.452393
199.924017,323,62.650818
301.150313,320,62.851242
210.786679,323,63.050118
188.204308,323,63.247632
93.792404,323,63.448013
206.155901,323,63.644215
352.750341,320,63.838363
