#{"t_start": 1761782181.083617, "env_id": "None"}
r,l,t
-54.592857,431,0.547464
-55.528571,454,0.778344
-132.557143,388,0.995936
-120.278571,377,1.203724
-63.0,341,1.405461
-4.285714,386,1.616741
-126.057143,388,2.760798
-93.778571,397,3.005161
-122.25,443,3.229091
-94.278571,373,3.440705
-40.5,349,3.651229
-115.8,452,3.879607
-76.828571,400,4.09728
-80.028571,411,5.247345
-126.278571,389,5.485084
-69.157143,371,5.696096
-107.507143,384,5.910915
29.235714,341,6.113712
-22.828571,384,6.325643
-144.557143,405,6.542014
-104.0,335,7.682166
-36.528571,472,7.941658
-100.242857,470,8.173979
-130.778571,398,8.390005
-75.0,349,8.597284
-110.371429,355,8.805004
-89.435714,350,9.014715
-0.5,352,10.142579
-130.778571,356,10.383507
-16.042857,418,10.604316
-139.278571,359,10.812016
-79.828571,375,11.021021
-20.978571,391,11.236806
-100.264286,407,11.454477
-103.0,403,12.619851
25.0,341,12.85991
-1.114286,421,13.087462
-73.0,352,13.296415
-166.835714,403,13.514961
-42.778571,379,13.726618
2.457143,399,13.942626
6.428571,364,15.055674
-112.478571,429,15.314436
-3.028571,420,15.533532
-161.978571,448,15.758568
-39.478571,439,15.978842
-112.607143,370,16.187014
-82.807143,401,16.404085
-91.5,414,17.625349
-109.0,399,17.868943
-86.778571,379,18.07991
-58.5,352,18.287274
-131.685714,408,18.505651
-112.664286,435,18.729954
-155.557143,372,18.941617
-77.7,387,20.101955
-93.557143,353,20.336676
1.442857,376,20.551707
-85.978571,409,20.768615
-60.335714,397,20.981276
-19.764286,375,21.190711
-92.521429,460,22.28948
-85.364286,445,22.556168
-44.821429,420,22.782959
-117.914286,398,22.997525
-34.264286,362,23.205851
-98.014286,468,23.436648
-46.528571,469,23.666448
-98.264286,379,24.85166
-131.35,388,25.095895
-45.521429,433,25.320138
-105.057143,401,25.536431
-61.4,417,25.75653
11.128571,429,25.980169
-49.542857,383,27.097955
-119.778571,389,27.350199
-120.778571,391,27.563047
-100.978571,399,27.778675
-123.828571,443,28.004062
-91.171429,412,28.223493
-70.042857,416,28.442707
-145.764286,399,29.622805
-8.071429,350,29.868782
-89.828571,374,30.079796
-55.278571,371,30.289651
-120.828571,391,30.500588
10.957143,385,30.713728
-77.5,358,30.921785
-70.028571,491,32.126598
-83.5,341,32.362125
-22.057143,412,32.581923
-159.271429,408,32.800912
-96.542857,419,33.016669
-149.321429,362,33.223658
-72.0,360,33.433492
33.471429,422,34.63216
-90.364286,469,34.901464
-90.721429,370,35.113226
-38.721429,401,35.327726
-114.557143,376,35.539848
-114.05,446,35.762943
3.442857,400,35.979885
-12.542857,422,37.171322
-67.264286,383,37.410996
-59.9,417,37.630602
-88.528571,398,37.844808
-165.114286,393,38.059159
-88.528571,479,38.335619
-136.635714,362,39.495253
-75.778571,389,39.74244
-92.328571,403,39.958766
-18.314286,446,40.182745
-66.0,410,40.403152
-69.1,413,40.619631
-134.5,341,40.820688
-95.921429,439,41.998611
-152.714286,389,42.236496
-22.571429,360,42.444523
27.171429,381,42.656128
-47.585714,467,42.887269
-92.278571,401,43.105174
-88.0,410,43.322855
-40.528571,423,44.527554
-61.25,411,44.771182
-67.535714,430,44.991926
-58.028571,426,45.212652
-125.264286,493,45.447867
-107.321429,412,45.662321
25.064286,361,46.808185
-40.5,349,47.048545
25.0,349,47.260334
-92.507143,403,47.47549
-100.0,360,47.683786
-111.492857,435,47.908589
-63.464286,400,48.127509
-85.65,390,49.292394
-47.292857,436,49.553382
16.857143,343,49.759691
-34.821429,425,49.980981
-115.335714,412,50.19693
-63.364286,420,50.418451
-150.757143,393,50.633423
-144.985714,438,51.830088
-42.028571,423,52.076595
-73.5,401,52.295242
-146.778571,369,52.502078
-105.7,434,52.72267
-86.278571,365,52.930249
-24.742857,463,54.084852
-62.978571,441,54.348052
-66.314286,461,54.576477
-138.107143,430,54.798801
-139.778571,433,55.01952
-33.264286,401,55.239002
-107.764286,522,56.412369
23.6,384,56.666771
-77.171429,398,56.887465
-70.55,523,57.1263
-160.778571,375,57.333169
-27.057143,431,57.553984
-105.764286,416,57.773787
-96.278571,356,58.927535
-54.821429,375,59.170357
-146.0,398,59.38702
-79.335714,394,59.604711
-81.7,397,59.822552
-140.057143,397,60.037581
-129.614286,398,60.255205
-112.307143,424,61.47809
-80.314286,410,61.72986
6.971429,396,61.945244
-95.0,343,62.150181
-158.557143,397,62.365562
-93.764286,461,62.593459
-61.778571,373,63.735552
-81.485714,407,63.99865
-82.0,380,64.224385
-99.778571,390,64.438762
-22.528571,421,64.660719
-20.157143,408,64.881707
-148.528571,467,65.111658
-64.035714,442,66.286208
-146.278571,389,66.534551
-47.278571,398,66.7564
-125.257143,429,66.977743
-93.321429,427,67.198137
-73.692857,436,67.420869
-70.0,409,68.592298
24.442857,400,68.855789
-79.957143,454,69.092826
-34.642857,421,69.312668
-88.5,344,69.515499
-129.5,338,69.719755
-62.5,410,69.93997
-4.264286,434,71.119996
-92.092857,399,71.378966
-121.114286,372,71.589893
-80.264286,412,71.80926
-22.257143,451,72.038186
-96.5,338,72.242468
