#{"t_start": 1761883675.692037, "env_id": "None"}
r,l,t
-3685.350002,2157,1.246773
-4138.599999,2048,2.841695
-5273.800005,2700,4.580645
-5265.800005,2700,6.287326
-4343.300001,2700,7.995845
-5277.800005,2700,9.760204
-4219.000003,2700,11.505727
-4390.2,2700,13.237424
-3546.749998,1963,14.745052
-4847.099993,2700,16.536059
-5203.800005,2700,18.36887
-1757.4,880,18.765254
-4905.1,2700,20.619111
-5025.599998,2700,22.443776
-5286.600005,2700,24.217657
-5095.800005,2700,25.978813
-5381.800005,2700,27.745459
-5323.400005,2700,29.508622
-1593.8,818,29.880755
-5219.800005,2700,31.724077
-2229.0,1209,33.048814
-1714.6,887,33.446323
-5144.749988,2700,35.237837
-2731.8,1475,36.647317
-2690.500001,1792,37.304902
-4806.200005,2700,39.113743
-5063.800005,2700,40.88034
-1449.7,715,42.050248
-4563.400005,2700,43.8264
-4157.900005,2700,45.600698
-5131.000005,2700,47.451066
-1959.85,989,47.883241
-1509.45,896,48.277405
-2066.8,1181,49.784357
-1736.2,978,50.204978
-1220.25,531,50.49745
-5109.150005,2700,52.342511
-5345.800005,2700,54.103768
-5435.400005,2700,55.871349
-4097.7,2700,57.691336
-5245.000005,2700,59.525107
-5361.600005,2700,61.300671
-5091.800005,2700,63.076592
-3703.699993,2700,64.905893
-5215.000005,2700,66.710585
-3985.085714,2700,68.497334
