#{"t_start": 1761614132.6531808, "env_id": "None"}
r,l,t
-288.213817,414,0.608154
-334.696096,396,0.881022
178.538464,340,1.136695
-1557.247717,414,1.405662
-805.3579,1997,1.9993
-8.289548,1247,2.564044
-320.230254,425,2.843008
-283.521667,351,3.09329
-5.328006,414,3.364424
79.381726,426,3.64026
-197.331991,340,3.885664
-224.043883,351,4.136679
-306.960875,340,4.384721
-486.448014,1696,9.249274
-307.589839,431,9.525049
-2.048276,414,9.809082
117.467216,425,10.092604
-105.525833,414,10.372442
-578.217836,1125,10.768453
128.309868,396,11.032139
41.767928,414,11.310384
-2339.260168,1709,11.837185
-398.421819,340,12.082461
-558.546884,340,12.333468
165.8875,396,12.608446
-1208.399458,1318,17.437433
-451.641859,396,17.709774
140.06362,351,17.974969
-116.600203,340,18.237823
-208.420293,411,18.52586
-782.455857,412,18.809531
74.805746,340,19.073835
48.176537,340,19.338933
-335.563787,414,19.63127
-2045.65733,2700,20.704477
-1280.315071,911,21.044766
-536.391232,417,21.317439
-906.59579,425,25.893022
-37.178122,1443,26.54482
-1657.485339,2700,27.604388
-1381.358007,1794,28.143013
-298.693352,351,28.393495
131.033338,351,28.661474
-242.570129,414,28.952302
29.511815,411,29.242304
-555.179616,414,29.531249
-175.760831,340,34.432795
85.758162,340,34.723473
111.432012,351,35.012189
-971.455612,2110,35.933012
-30.431359,414,36.210054
-261.592794,351,36.481693
-1567.613053,943,36.838691
127.457437,396,37.106947
-207.825862,414,37.401962
-303.413567,414,37.689898
-1021.720041,1468,38.322208
22.021638,340,38.572222
-54.303395,414,43.384567
20.489618,351,43.703859
159.150257,340,43.982072
-100.749446,410,44.283848
88.797226,340,44.554804
-153.038267,438,44.866938
126.809106,423,45.170606
-107.622995,426,45.468064
112.526225,351,45.745071
-1828.626731,2401,46.670294
75.670494,340,46.919331
-242.614313,340,47.185594
136.760848,340,47.460686
-293.146807,414,47.756138
131.919956,351,48.030163
142.173977,414,48.331935
82.803945,1415,53.57356
-1238.338881,1589,54.061148
-198.030408,351,54.316797
-347.37018,340,54.590374
-63.693566,396,54.882876
-268.340631,414,55.182885
-1603.071611,1761,55.959145
-1312.461738,425,56.243437
-1632.610106,1253,56.669254
-91.796401,351,56.925813
106.696198,351,61.686189
-232.577336,340,61.979063
-685.137108,1273,62.598283
221.184814,396,62.873963
156.447678,340,63.148076
-221.007883,442,63.458788
-272.435003,418,63.75708
-8.872715,956,64.238389
-270.402467,351,64.503133
278.989351,975,65.025454
-249.46464,414,65.310868
-161.633258,351,65.585861
79.714432,340,65.857182
-248.975051,428,66.169496
-646.999837,1499,71.249648
-182.228002,396,71.543044
-25.555726,396,71.845062
42.177512,340,72.116387
57.014108,414,72.427699
59.501613,340,72.700771
22.255449,396,73.002337
-718.50988,396,73.295608
17.674367,414,73.604895
-112.511759,396,73.89831
-351.688484,1127,74.467453
191.356124,414,74.747261
-1232.059019,2700,80.422237
38.712843,351,80.733718
70.584912,340,81.010903
-324.237726,978,81.540212
60.81789,414,81.827429
-305.03208,414,82.134297
-518.380568,653,82.552347
-10.203494,426,82.845037
-210.609574,414,83.155406
146.836799,396,83.444229
-108.462443,396,83.739728
-855.145333,414,84.041603
-171.842416,414,84.344965
2.851688,414,84.646277
140.88301,340,84.916712
-244.14614,414,85.226873
-154.643289,422,85.534588
-551.333632,340,85.804378
118.670718,416,90.839635
141.08138,351,91.158375
-73.557551,396,91.464979
-256.230547,414,91.773271
127.37805,396,92.071846
82.998702,340,92.348121
-13.714065,417,92.654505
-192.491848,340,92.927212
-387.372414,1244,93.367005
-213.296075,396,93.644622
225.190373,412,93.946511
-121.602602,340,94.216632
-1592.395006,1735,94.950897
67.902249,340,95.203361
-1045.426478,1635,100.639777
-146.188526,340,100.905985
-882.104793,414,101.217134
56.689854,425,101.534975
76.061249,340,101.805735
-882.238016,414,102.118772
-275.567523,414,102.422156
-620.883274,1391,102.884217
-208.589736,414,103.178294
-1038.807437,1646,103.928077
62.978105,427,104.222129
-492.581794,416,104.714685
191.504692,414,105.007067
-572.540787,442,110.022089
-160.784915,396,110.356149
-304.97972,414,110.666293
-130.948208,396,110.967755
-375.689571,880,111.313897
50.724859,340,111.570025
-566.977636,425,111.934958
-224.281388,340,112.206024
93.648048,351,112.500386
116.607499,410,112.805884
-647.838654,425,113.124058
-159.460806,351,113.406226
-421.516709,913,113.772048
-1670.122123,1929,114.616919
122.473103,340,114.870583
-127.560066,340,119.81997
-612.073377,414,120.142519
95.707517,418,120.455418
-145.28212,414,120.760259
-180.799784,396,121.058287
-705.891982,1506,121.759611
12.506761,441,122.061025
-1092.668915,414,122.362719
143.912963,414,122.667706
-40.335254,414,122.970641
-223.79793,398,123.268387
-74.175187,1269,123.900374
230.915247,418,124.18551
86.629424,340,124.461122
-364.558937,396,124.769004
-669.218366,1498,130.012714
184.431156,351,130.279705
-91.553588,396,130.58617
173.022415,396,130.879826
33.014413,410,131.188534
100.934111,427,131.498031
78.087125,442,131.816117
-467.133115,1161,132.222852
-325.337161,414,132.515507
-504.211721,414,132.82128
-119.85446,340,133.094996
-1040.551401,427,133.414753
-1615.247467,1017,133.945746
91.639885,414,134.236659
-84.574678,351,139.256512
-419.187859,449,139.610439
113.290563,340,139.881888
27.721512,414,140.199268
149.14039,349,140.485496
59.405898,414,140.8024
63.545834,426,141.116948
88.96462,414,141.425058
-1098.563328,1217,141.993339
-85.297832,414,142.280828
-137.027441,351,142.562272
-194.755094,439,142.887272
-29.090126,420,143.189753
-13.941142,414,143.495839
206.259051,414,143.805358
-132.611588,340,144.079476
40.321264,419,144.395818
-257.594192,414,144.706458
-897.436224,906,150.056702
136.693052,396,150.355025
62.989105,414,150.668708
-137.819281,2360,151.662184
-500.760578,414,151.950277
-1225.17439,1613,152.641796
-198.810522,340,152.898648
-295.16348,1616,153.648338
-251.745348,340,153.905689
60.125089,423,158.90909
-821.416569,962,159.421589
65.97695,1183,159.98236
39.304096,351,160.246853
41.067077,414,160.556948
-302.362163,414,160.860586
57.369755,395,161.164045
-180.90852,423,161.476592
-190.478687,414,161.776294
-531.451513,428,162.094786
-862.156512,414,162.398738
-644.968758,1043,162.786417
-285.69915,414,163.0762
-1099.998346,396,163.371311
-522.946647,414,163.679566
85.820964,414,168.749329
-271.97805,414,169.059269
-577.544303,1844,169.846936
145.114374,412,170.13458
-10.340281,414,170.440267
142.905477,396,170.738417
-168.905921,340,171.022361
-1225.561485,1300,171.476722
32.914462,414,171.762636
-249.171836,340,172.035784
90.293327,414,172.355702
85.447561,340,172.62938
-236.767462,340,172.911719
69.143047,414,173.229914
-209.293178,414,178.299315
-256.25511,414,178.653688
72.53286,351,178.941736
188.74141,340,179.223845
138.367269,340,179.521602
-229.223375,414,179.836184
5.131769,423,180.150379
15.0993,414,180.465153
-615.021985,1227,181.071514
-312.337496,413,181.359764
191.053996,351,181.648084
-269.033041,414,181.961661
-531.132575,340,182.23907
51.387224,416,182.556838
101.053284,417,182.866785
112.192155,340,183.146606
-265.490892,987,183.709042
-381.888754,647,188.926973
-562.298587,340,189.22645
2.719462,414,189.550594
-237.938424,463,189.87829
127.715111,396,190.1768
112.716135,340,190.457891
-166.18515,351,190.751052
-3682.940996,2700,191.895361
-213.498593,447,192.198969
-44.383703,396,192.494456
-598.79374,1640,193.245503
-1.259038,412,198.270419
-490.172577,396,198.618514
72.957215,340,198.904039
-129.199931,396,199.214433
44.768292,421,199.52821
84.679533,1493,200.023422
39.932231,424,200.315431
-201.649595,340,200.593396
167.952613,340,200.876768
159.189944,340,201.164797
103.342073,411,201.476459
64.18135,351,201.761461
123.45588,351,202.056407
-62.416212,414,202.373328
98.513025,351,202.65468
45.96888,340,202.943556
45.615031,351,203.23498
-117.783302,1711,208.90974
-786.415895,1400,209.580533
-651.745196,1248,210.183534
-3.324655,414,210.472508
57.520645,351,210.76625
-496.968973,340,211.048607
59.333527,340,211.340956
7.605446,414,211.65755
-236.335132,396,211.958938
69.671602,351,212.250079
144.339684,1484,212.960911
6.194724,418,213.25158
126.499036,340,218.315976
8.1013,414,218.663594
181.177935,340,218.945894
-344.76977,1433,219.436557
107.0508,1750,220.202769
-627.909486,2180,220.843307
9.818468,414,221.1273
-23.408274,414,221.431931
-519.342341,1712,226.982425
-720.930877,340,227.2487
-230.47742,410,227.569206
-61.81018,1286,228.015576
9.389871,396,228.302724
63.791776,414,228.616333
-285.909395,1142,229.037034
-90.289255,340,229.295437
121.779906,825,229.642617
-160.789355,396,229.924847
-262.263742,351,230.208016
-293.974345,414,230.518628
-592.664726,414,230.831555
99.159848,414,231.144883
111.956111,414,236.297896
94.123479,1547,237.062242
-164.351304,340,237.321097
75.233837,865,237.798906
-417.804137,340,238.062137
67.472334,340,238.351274
-9.718103,1801,238.918508
-163.102105,351,239.185696
176.955283,340,239.467205
-438.402172,414,239.778244
-185.875355,425,240.095425
-692.300506,1564,245.397547
-809.058926,943,245.944217
-171.897511,340,246.20564
92.993182,340,246.49326
-246.264835,414,246.817725
231.310031,416,247.13223
-1124.614433,1885,247.910283
-184.744331,340,248.16818
28.067651,420,248.485168
123.719168,424,248.802836
46.890452,414,249.112097
120.510293,414,249.423929
139.156825,340,249.700685
166.551073,396,250.010129
-135.760683,414,250.31674
177.784064,340,255.640312
80.418557,340,255.972504
-274.000401,414,256.316278
84.008277,340,256.611635
89.294174,396,256.933421
110.196743,414,257.254022
19.557232,340,257.547395
18.147228,350,257.849547
-15.013576,962,258.257033
-279.349675,414,258.547245
-336.76801,414,258.857962
99.089115,351,259.145548
71.913181,414,259.467965
-103.387739,816,259.808709
-349.050533,416,260.099471
-165.007417,340,260.373615
-254.923895,414,260.685216
78.000593,414,260.989881
72.978906,417,261.302804
-289.339003,351,267.004281
73.34308,414,267.350791
-115.794087,425,267.678868
-1306.57588,2506,268.691497
-555.143637,340,268.950559
125.718172,437,269.27069
464.957351,1351,269.920208
-117.774878,396,270.199805
-170.380543,425,270.509944
36.886613,414,270.82365
-441.769367,414,271.133606
-338.273532,448,271.459655
100.5798,414,277.124657
44.716227,422,277.49406
-515.774454,351,277.798178
42.321207,414,278.12709
130.852536,340,278.419274
151.953312,422,278.75718
80.249772,2238,279.459355
69.909885,414,279.741537
-483.04565,414,280.041028
86.467949,432,280.3567
123.694094,414,280.658444
119.323862,340,280.934024
122.686736,414,281.246758
-58.867025,1809,287.284303
213.156526,351,287.60182
-235.345819,414,287.932765
-688.577871,1372,288.430493
-242.36597,431,288.72021
