#{"t_start": 1761630071.150025, "env_id": "None"}
r,l,t
100.65,741,0.708765
100.0,858,1.131394
74.55,858,1.548173
95.1,1410,2.12713
102.0,420,2.399974
100.8,415,2.678828
125.0,414,2.959127
75.0,858,3.382345
-31.05,1531,3.996022
100.0,414,4.264576
100.0,414,7.188247
100.0,414,7.491338
100.0,414,7.783224
99.75,1227,8.331395
125.0,340,8.58198
75.0,858,9.018108
100.0,858,9.439006
100.0,340,9.689217
75.0,858,10.128858
75.0,858,10.552128
-100.45,666,10.914002
-75.0,708,11.293452
100.9,425,14.312128
100.0,415,14.633414
75.0,415,14.927612
100.0,414,15.225352
101.0,417,15.521176
-75.0,638,15.894023
125.0,414,16.179706
125.0,858,16.622676
100.0,414,16.89841
100.0,858,17.340722
100.0,415,17.621421
-102.1,1155,18.019255
99.625,859,18.444482
100.85,814,21.651128
-75.0,835,22.121328
100.9,426,22.40925
75.0,858,22.856322
125.0,340,23.112492
75.0,858,23.562828
125.0,416,23.847638
75.0,858,24.288571
100.0,858,24.72039
75.0,858,25.14981
75.0,858,25.577362
75.0,858,28.760799
125.0,341,29.063319
100.0,414,29.359661
100.0,858,29.812358
75.0,858,30.247724
-51.9,1785,30.769439
-125.0,608,31.039355
-95.8,1044,31.517313
-75.4,2288,35.1182
125.9,425,35.460768
75.0,858,35.920464
100.0,414,36.207159
75.0,414,36.514769
75.0,415,36.815972
155.7,832,37.262606
-76.25,2084,37.855214
144.9,1323,38.428283
-97.0,1569,41.633925
125.0,858,42.102942
100.0,414,42.387994
100.0,858,42.836697
100.0,858,43.273175
-74.15,859,43.70553
75.0,858,44.141197
-124.1,1893,44.681216
100.0,858,45.109029
4.1,2700,48.606006
100.0,414,48.892636
100.0,414,49.193119
76.5,1100,49.720267
100.65,971,50.189757
100.0,858,50.620399
74.55,858,51.054029
101.0,416,51.33739
135.4,1097,54.638622
99.775,592,55.008683
111.15,1075,55.515709
-124.15,1273,55.930308
75.0,858,56.362747
100.0,858,56.793854
100.0,858,57.225504
125.0,340,57.479108
76.0,416,57.785015
125.0,415,58.088957
100.0,415,58.390891
75.0,858,61.709544
101.0,414,62.025779
100.9,425,62.33114
100.85,571,62.700442
75.0,858,63.13877
125.0,340,63.397857
-50.8,1900,64.173479
100.0,415,64.459681
100.9,425,64.761626
100.65,950,65.24225
74.55,858,65.679809
100.0,415,65.96197
100.0,414,69.186615
125.0,599,69.585563
125.0,340,69.850465
100.0,858,70.314054
125.0,414,70.601368
100.0,414,70.903462
100.9,425,71.214975
-48.2,2016,71.8035
100.0,858,72.233797
-125.0,1779,72.757252
100.0,858,76.052948
100.0,858,76.503386
100.0,858,76.943605
100.0,414,77.239129
-100.0,716,77.648923
75.85,811,78.076783
100.0,414,78.363036
-52.75,1518,79.014779
75.0,858,79.452976
75.9,794,79.87137
75.0,858,83.187791
100.0,414,83.481087
75.0,858,83.938892
9.55,2700,84.979876
75.0,858,85.427345
125.0,340,85.6996
75.0,858,86.158341
-98.0,1096,86.66821
100.0,414,89.692297
75.0,858,90.184791
75.0,858,90.6299
-62.4,2416,91.292642
125.0,858,91.725531
75.0,858,92.161593
-125.0,698,92.448567
75.0,858,92.881519
-75.75,1404,96.282984
-75.0,737,96.693623
74.55,858,97.134151
126.7,699,97.524227
125.0,858,97.961432
-125.0,632,98.235961
100.9,425,98.524115
100.0,858,98.986488
110.4,447,99.286012
-67.5,1699,99.807651
100.0,414,102.919539
100.0,414,103.238468
100.0,415,103.545707
-75.0,869,104.009524
-73.5,1307,104.585424
100.0,414,104.87471
100.9,411,105.1774
99.1,858,105.637003
75.0,414,105.921821
74.55,858,106.37765
100.0,414,106.666626
100.0,858,107.11756
100.0,414,107.40665
125.0,858,110.781702
100.9,425,111.07883
-75.0,615,111.460548
100.0,415,111.756386
100.0,858,112.220151
-125.0,899,112.550475
125.0,858,112.988416
100.0,414,113.272719
85.025,1520,113.931016
100.0,414,114.216741
102.85,1534,117.759061
100.0,414,118.057172
100.0,340,118.336562
126.7,930,118.830006
125.0,858,119.271207
75.0,1090,119.781062
75.0,858,120.218418
100.0,414,120.500594
125.0,416,120.812025
-124.15,1145,121.357942
101.0,416,121.644313
75.0,858,125.00749
75.0,858,125.4923
100.65,410,125.782022
76.3,1266,126.370312
125.0,340,126.631256
-114.6,1140,127.034256
125.0,414,127.322213
75.0,858,127.77989
-75.0,837,128.213927
75.0,858,128.656131
-125.0,854,128.977381
100.0,414,132.143688
75.0,858,132.611825
100.0,858,133.059947
102.35,1228,133.61004
125.0,414,133.897251
100.0,858,134.356699
75.0,858,134.797214
100.0,415,135.083449
125.0,341,135.363076
100.0,415,135.66893
173.65,2307,139.195119
100.0,858,139.645301
125.0,414,139.935183
110.4,441,140.254769
