#{"t_start": 1761502000.7142138, "env_id": "None"}
r,l,t
-95.627102,827,0.771157
63.151599,414,1.001399
68.06023,340,1.210796
-79.249419,1302,1.653199
-101.452372,747,1.955635
-107.025847,969,2.317252
34.178887,2700,3.094908
68.054773,414,3.312606
-71.781591,1543,3.800745
67.219604,340,4.001763
-85.677123,1624,4.516424
-84.22491,950,4.86754
-91.255303,869,5.196765
-67.513057,1291,5.626627
-106.644781,1326,6.069206
-85.760392,797,6.402172
-75.075617,1325,6.840301
84.554391,409,7.058612
-70.842457,1833,7.61897
-75.870752,1088,8.002799
-75.457209,813,8.322284
69.246042,414,8.542879
-90.068882,844,8.870612
-86.917687,1625,9.369265
61.436638,2700,10.144639
-85.560486,694,10.436288
-65.42037,882,10.777487
-84.381831,832,11.098009
-108.818874,1481,11.578502
-76.981252,956,11.929716
-74.811439,1510,12.415179
-84.822154,861,12.744436
87.934148,414,12.967261
-81.544067,1594,13.466092
74.437799,414,13.691448
-101.796477,1067,14.072429
63.133274,414,14.2978
-86.271681,730,14.59853
-106.990316,1307,15.039612
79.413155,340,15.244167
79.697095,340,15.449394
-90.016522,906,15.796281
-18.627609,2698,16.572871
79.224692,340,16.776078
-53.734136,1388,17.258972
-80.384651,1352,17.706418
-61.187086,1653,18.220375
-42.32724,1533,18.713009
-105.287289,1067,19.091814
42.41977,2700,221.257249
-69.294119,1407,221.738
67.721938,414,221.963661
-89.717748,1527,222.469078
89.589034,340,222.680249
-84.705224,1251,223.11093
-56.818343,1203,223.529953
-50.755076,1750,224.077915
-105.252222,1303,224.522691
-56.099825,1559,225.031922
-86.995888,1314,225.474059
-63.816938,610,225.750881
79.74272,340,225.960341
-60.335082,910,226.312626
-91.922623,1186,226.7238
-61.666847,1004,227.101323
-101.354466,1021,227.481118
-104.797363,1558,227.982865
-83.132095,1156,228.394944
67.724739,414,228.625089
-5.926233,2286,229.327091
-105.07109,2113,229.963326
-70.776744,2647,230.733323
-75.745042,739,231.043388
97.137251,2129,231.693936
-79.362922,1167,232.111811
-82.558038,1722,232.651459
-93.569694,1383,233.117269
-81.075554,1198,233.533534
-105.88749,1414,234.011041
68.620753,414,234.240134
-84.12931,1018,234.617101
-75.634943,2388,235.328592
-58.060102,2700,236.109419
-106.560717,1879,236.749285
-109.476036,2062,237.683926
-69.189426,1230,238.274869
-57.767617,2700,239.459419
105.065446,441,239.694942
47.834068,340,239.908789
-96.736835,1351,453.040589
-95.177838,598,453.461876
67.382341,340,453.685168
79.836608,452,453.922722
-50.923134,1132,454.561978
-98.208828,915,455.111326
-111.97916,1146,455.756346
3.517525,2700,456.89087
-76.197254,1690,457.668227
1.325435,2700,458.791683
-76.236809,777,459.241356
25.60236,2700,460.389289
87.793657,414,460.620075
62.778679,340,460.835244
-85.98243,604,461.215301
-91.715587,1716,461.990862
-47.523192,2700,462.767831
79.057888,414,462.9972
58.613215,414,463.224788
-51.546278,1695,463.994586
-47.819344,1906,464.837394
6.295845,2700,465.979016
-83.190034,1539,466.691749
-41.730975,1908,467.283632
66.18512,414,467.514133
-96.541769,1484,468.201191
-3.684409,2700,469.302805
-40.413739,1404,469.967881
-57.974598,1529,470.680625
-77.737638,2332,471.698633
-54.176854,2367,472.712994
-92.31842,2399,473.710263
-86.161701,1579,474.420269
-62.482153,1305,475.04536
-27.573399,2183,475.990172
-77.378551,1320,476.613118
-78.480429,1213,692.53941
-96.503757,1190,693.175348
-89.281541,1223,693.799862
-146.291098,2108,694.821988
-39.933534,1875,695.685677
-80.393824,2116,696.3318
80.022495,340,696.54202
3.806042,2700,697.672023
-72.332727,1773,698.496379
-88.416159,1045,699.046496
-114.84586,1124,699.625028
-25.776072,1564,700.387575
79.56563,340,700.600299
-31.519556,1196,701.210443
-89.804344,1039,701.751634
-83.963365,693,702.179088
-62.190417,2245,703.171827
56.960428,414,703.401294
-90.93637,1060,703.785049
-116.894427,1179,704.368943
87.796318,340,704.580017
-28.758807,1887,705.423138
-60.972403,2583,706.506823
-90.299815,754,706.94568
-85.744356,720,707.377365
-97.944654,1780,708.17227
-169.774166,1773,708.74386
-105.63683,672,709.15429
-85.096424,655,709.559974
-47.886505,1525,710.320374
-77.143174,1573,711.048568
-112.090216,1687,711.829887
-69.558021,853,712.319034
-31.09661,890,712.815284
-80.725609,634,713.214581
14.288579,2331,714.237932
-101.704337,2180,715.173549
-70.244133,1866,715.995794
-70.053033,1333,716.643212
1.00449,2377,717.654256
-79.03529,782,936.703559
-109.69898,1472,937.436094
-66.946667,1032,938.002172
-85.691712,734,938.51033
-85.681807,1232,939.135259
-77.34245,924,939.661243
-74.803517,1455,940.372868
89.495199,423,940.60616
-91.755736,1822,941.427383
-80.633794,1117,941.999066
-56.448893,2626,943.12429
51.679676,414,943.354602
-87.398225,1193,943.956525
-86.861984,836,944.431105
-14.021463,2700,945.561865
-95.531377,875,946.043709
-56.919992,1326,946.691308
-61.549655,2625,947.813043
-85.959504,1034,948.345596
-91.934447,1691,949.12447
-85.662139,2024,950.015901
-90.495716,966,950.530548
-86.603838,1486,951.233031
-85.963467,1359,951.888213
-101.550157,929,952.39216
-71.443155,904,952.898847
67.579147,414,953.136071
79.693572,340,953.351149
-84.001394,727,953.781989
-76.735324,764,954.236945
-97.798599,1422,954.916177
-80.767612,932,955.270005
-97.986153,2163,956.211162
-65.393177,2243,957.17131
-56.236815,2367,958.185456
-80.72305,724,958.611992
-96.298432,784,959.067612
-77.345271,2238,959.737582
-125.188618,1892,960.582138
-90.247145,1261,961.195893
-80.55286,829,961.527663
-82.321131,820,962.002091
-81.242936,977,1181.466564
-59.8807,2567,1182.58597
-108.527506,1440,1183.278732
-84.944423,1538,1184.030185
-95.064776,1224,1184.71683
67.385676,340,1184.94681
-95.588208,1818,1185.811832
-82.395338,928,1186.400462
68.046754,340,1186.614219
-89.605579,1271,1187.252857
79.042922,414,1187.484861
63.227302,340,1187.694916
-91.031711,1312,1188.337233
-81.253172,885,1188.828955
-40.076027,1950,1189.705265
-45.373463,2533,1190.806237
-119.466587,1298,1191.448665
-95.968464,1994,1192.381696
-86.129983,1269,1193.002616
80.062843,340,1193.213496
73.078006,414,1193.443603
68.522902,425,1193.67792
-66.459205,1093,1194.239336
-100.87263,1841,1195.089034
-46.543879,1269,1195.727832
-127.148349,1861,1196.602668
-106.148573,1209,1197.246457
-56.261626,1605,1197.999345
-62.168706,965,1198.523023
-22.990877,1769,1199.334502
-106.531255,1201,1199.933747
-103.506444,2673,1201.083989
-86.588081,1330,1201.735152
-90.919413,1224,1202.343271
-97.598573,1788,1203.155984
-106.470795,1834,1203.990247
-85.994725,948,1204.495385
-80.98796,904,1204.9955
94.595391,340,1205.210014
-84.82294,607,1205.601951
68.365276,425,1205.833905
-60.443954,1520,1206.559787
-55.7736,1791,1207.384737
-110.374402,1176,1430.228328
-64.373068,2338,1430.941573
-65.03167,1072,1431.519715
-66.974454,1056,1432.088126
-107.741572,1522,1432.817626
79.60403,340,1433.028624
-53.537065,1613,1433.790398
-65.191059,2340,1434.845057
-99.509108,1075,1435.238876
-85.983334,648,1435.665464
-84.007391,1008,1436.217707
-89.287423,813,1436.697177
-69.378466,2534,1437.789468
56.585114,414,1438.020035
-74.455828,2114,1438.95301
-85.886868,690,1439.37635
-80.227496,986,1439.91486
63.401986,414,1440.145575
-85.166421,1561,1440.655236
56.530968,340,1440.864559
-73.707745,1081,1441.429171
-76.596424,1497,1442.164347
-85.379022,2183,1443.145227
-87.724623,2138,1444.088664
-85.726525,585,1444.475711
-108.475222,2023,1445.381848
79.907703,340,1445.593145
-85.244993,1269,1446.234494
-89.314225,730,1446.675599
-120.977652,2299,1447.692312
79.507704,340,1447.903487
-81.658608,709,1448.331603
99.130277,340,1448.542358
-71.53393,779,1449.002711
-91.125061,1768,1449.803998
-51.828718,2243,1450.79814
72.381763,416,1451.031424
-47.674896,1665,1451.83278
-26.658212,1465,1452.537611
84.154763,347,1452.748947
-86.460966,924,1453.246653
79.403063,340,1453.455135
-90.836319,1034,1453.994876
-74.056178,1439,1454.693673
-85.727382,1031,1455.235913
-88.926257,1250,1455.861965
-116.770741,1779,1680.030199
-71.892142,1550,1680.795482
-118.926331,1272,1681.441502
-80.724634,1037,1682.032944
-83.273971,816,1682.513419
-76.16457,1855,1683.393849
-75.61179,1472,1684.099061
-64.616367,1330,1684.767299
-96.726574,1631,1685.552795
-75.691819,1075,1686.130789
-102.846014,2093,1687.074058
74.687427,354,1687.291491
